眼睛跟随（R6）：三幕轨迹，2b7bba 是眼的方位角，b03a2e 是球在视野里的方位角
这三条是 出一张图_论文_20260915.py 图6() 现场跑出来的，画 Figure 7 时写盘

== (a) object crossing the field  [小横着飘 {'球方位角': -25.0, '球半径': 0.05, '球横速': 0.5, '秒数': 5.0}] ==
  秒     球方位角     眼方位角
   0.42        nan       0.00
   0.44        nan       0.00
   0.46        nan       0.00
   0.48        nan       0.00
   0.50        nan       0.00
   0.52        nan       0.00
   0.54        nan       0.00
   0.56        nan       0.00
   0.58        nan       0.00
   0.60        nan       0.00
   0.62        nan       0.00
   0.64        nan       0.00
   0.66        nan       0.00
   0.68        nan       0.00
   0.70        nan       0.00
   0.72        nan       0.00
   0.74        nan       0.00
   0.76        nan       0.00
   0.78        nan       0.00
   0.80        nan       0.00
   0.82        nan       0.00
   0.84        nan       0.00
   0.86        nan       0.00
   0.88        nan       0.00
   0.90        nan       0.00
   0.92        nan       0.00
   0.94        nan       0.00
   0.96        nan       0.00
   0.98        nan       0.00
   1.00        nan       0.00
   1.02        nan       0.00
   1.04        nan       0.00
   1.06        nan       0.00
   1.08        nan       0.00
   1.10        nan       0.00
   1.12        nan       0.00
   1.14        nan       0.00
   1.16        nan       0.00
   1.18        nan       0.00
   1.20        nan       0.00
   1.22        nan       0.00
   1.24        nan       0.00
   1.26        nan       0.00
   1.28        nan       0.00
   1.30        nan       0.00
   1.32        nan       0.00
   1.34        nan       0.00
   1.36        nan       0.00
   1.38        nan       0.00
   1.40        nan       0.00
   1.42        nan       0.00
   1.44        nan       0.00
   1.46        nan       0.00
   1.48        nan       0.00
   1.50        nan       0.00
   1.52        nan       0.00
   1.54        nan       0.00
   1.56        nan       0.00
   1.58        nan       0.00
   1.60        nan       0.00
   1.62        nan       0.00
   1.64        nan       0.00
   1.66        nan       0.00
   1.68        nan       0.00
   1.70        nan       0.00
   1.72        nan       0.00
   1.74        nan       0.00
   1.76        nan       0.00
   1.78        nan       0.00
   1.80        nan       0.00
   1.82        nan       0.00
   1.84        nan       0.00
   1.86        nan       0.00
   1.88        nan       0.00
   1.90        nan       0.00
   1.92        nan       0.00
   1.94        nan       0.00
   1.96        nan       0.00
   1.98        nan       0.00
   2.00        nan       0.00
   2.02        nan       0.00
   2.04        nan       0.00
   2.06        nan       0.00
   2.08        nan       0.00
   2.10        nan       0.00
   2.12        nan       0.00
   2.14        nan       0.00
   2.16        nan       0.00
   2.18        nan       0.00
   2.20        nan       0.00
   2.22        nan       0.00
   2.24        nan       0.00
   2.26        nan       0.00
   2.28        nan       0.00
   2.30        nan       0.00
   2.32        nan       0.00
   2.34        nan       0.00
   2.36        nan       0.00
   2.38        nan       0.00
   2.40        nan       0.00
   2.42        nan       0.00
   2.44        nan       0.00
   2.46        nan       0.00
   2.48        nan       0.00
   2.50        nan       0.00
   2.52        nan       0.00
   2.54        nan       0.00
   2.56        nan       0.00
   2.58        nan       0.00
   2.60        nan       0.00
   2.62        nan       0.00
   2.64        nan       0.00
   2.66        nan       0.00
   2.68        nan       0.00
   2.70        nan       0.00
   2.72        nan       0.00
   2.74        nan       0.00
   2.76        nan       0.00
   2.78        nan       0.00
   2.80        nan       0.00
   2.82        nan       0.00
   2.84        nan       0.00
   2.86        nan       0.00
   2.88        nan       0.00
   2.90        nan       0.00
   2.92        nan       0.00
   2.94        nan       0.00
   2.96        nan       0.00
   2.98        nan       0.00
