建皮层连接网：视觉23040、视觉细节23040、听觉30000、前额叶53200、运动160、运动记忆3576、本体感觉480、平衡感觉120、机身状态60、视觉运动1920、多巴胺200、抑制8000 共 143,796 个皮层神经元 ...
站起来块 60 个细胞，走路块 15 个细胞
=== A 趴着无图 ===
   44 0.88 末高0.154 歪112 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 68 运记   1 | 力[0.5 0.7 0.5]
   48 0.96 末高0.149 歪122 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 68 运记   1 | 力[0.5 0.7 0.5]
   52 1.04 末高0.136 歪136 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 56 运记   1 | 力[0.5 0.7 0.2]
   56 1.12 末高0.103 歪156 | 站起来链  1 走路链  0 | 前额   6 视觉    0 听觉    0 运动 54 运记   1 | 力[0.5 0.6 0.2]
   60 1.20 末高0.055 歪175 | 站起来链  1 走路链  0 | 前额   6 视觉    0 听觉    0 运动 56 运记   1 | 力[0.5 0.6 0.3]
   64 1.28 末高0.065 歪173 | 站起来链  1 走路链  0 | 前额   6 视觉    0 听觉    0 运动 56 运记   1 | 力[0.5 0.6 0.3]
   68 1.36 末高0.058 歪178 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.6 0.4]
   72 1.44 末高0.062 歪175 | 站起来链  1 走路链  0 | 前额   6 视觉    0 听觉    0 运动 58 运记   1 | 力[0.5 0.5 0.4]
   76 1.52 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   6 视觉    0 听觉    0 运动 56 运记   1 | 力[0.5 0.5 0.4]
   80 1.60 末高0.059 歪178 | 站起来链  1 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   84 1.68 末高0.058 歪179 | 站起来链  1 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   88 1.76 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   92 1.84 末高0.060 歪179 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 70 运记   2 | 力[0.5 0.7 0.5]
   96 1.92 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 70 运记   2 | 力[0.5 0.7 0.5]
  100 2.00 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 68 运记   2 | 力[0.5 0.7 0.5]
  104 2.08 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 68 运记   2 | 力[0.5 0.7 0.5]
  108 2.16 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 68 运记   2 | 力[0.5 0.7 0.5]
  112 2.24 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 68 运记   2 | 力[0.5 0.7 0.5]
  116 2.32 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 66 运记   2 | 力[0.5 0.6 0.5]
  120 2.40 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 64 运记   2 | 力[0.5 0.6 0.5]
  124 2.48 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 64 运记   2 | 力[0.5 0.6 0.5]
  128 2.56 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 64 运记   2 | 力[0.5 0.6 0.5]
  132 2.64 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 64 运记   2 | 力[0.5 0.6 0.5]
  136 2.72 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 60 运记   2 | 力[0.5 0.5 0.5]
  140 2.80 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 60 运记   2 | 力[0.5 0.5 0.5]
  144 2.88 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 60 运记   2 | 力[0.5 0.5 0.5]
  148 2.96 末高0.058 歪180 | 站起来链  1 走路链  0 | 前额   8 视觉    0 听觉    0 运动 60 运记   2 | 力[0.5 0.5 0.5]
